398	15.9912	398	30.0558	9.6857	39.4914	9.5053
399	16.0907	399	30.1814	9.7528	39.6197	9.5513
400	16.1888	400	30.3051	9.8186	39.7459	9.5961
401	16.2868	401	30.4284	9.8842	39.8715	9.6409
402	16.3841	402	30.5507	9.9492	39.996	9.6852
403	16.4805	403	30.6715	10.0134	40.1189	9.7289
404	16.5766	404	30.7919	10.0773	40.2413	9.7726
405	16.6716	405	30.9108	10.1404	40.362	9.8157
406	16.7659	406	31.0287	10.203	40.4817	9.8585
407	16.86	407	31.1462	10.2655	40.6009	9.9014
408	16.9528	408	31.2619	10.327	40.7183	9.9436
409	17.0453	409	31.3773	10.3884	40.8352	9.986
410	17.1373	410	31.4919	10.4496	40.9514	10.0284
411	17.2284	411	31.6054	10.5102	41.0665	10.0706
412	17.3194	412	31.7188	10.5708	41.1814	10.113
413	17.4099	413	31.8313	10.6312	41.2955	10.1555
414	17.5	414	31.9435	10.6915	41.4092	10.1982
415	17.5901	415	32.0556	10.752	41.523	10.2412
416	17.6799	416	32.1674	10.8125	41.6364	10.2846
417	17.77	417	32.2796	10.8733	41.7502	10.3286
418	17.8604	418	32.3921	10.9346	41.8644	10.3732
419	17.9514	419	32.5053	10.9966	41.9794	10.4186
420	18.0429	420	32.6193	11.0591	42.095	10.4647
421	18.1353	421	32.7341	11.1223	42.2116	10.5116
422	18.2285	422	32.85	11.1863	42.3292	10.5593
423	18.3225	423	32.9667	11.2509	42.4476	10.6077
424	18.4177	424	33.0848	11.3165	42.5672	10.657
425	18.5137	425	33.2038	11.3828	42.6878	10.707
426	18.6107	426	33.3239	11.4498	42.8094	10.7577
427	18.7089	427	33.4453	11.5178	42.9322	10.8091
428	18.808	428	33.5677	11.5864	43.0559	10.8613
429	18.9082	429	33.6912	11.6559	43.1806	10.9141
430	19.0095	430	33.8159	11.7261	43.3064	10.9675
431	19.1117	431	33.9414	11.797	43.433	11.0215
432	19.2151	432	34.0682	11.8688	43.5606	11.0762
433	19.3194	433	34.1959	11.9411	43.689	11.1313
434	19.4246	434	34.3245	12.0141	43.8181	11.187
435	19.5309	435	34.4541	12.0879	43.9481	11.2431
436	19.638	436	34.5844	12.1621	44.0786	11.2996
437	19.746	437	34.7155	12.2369	44.2097	11.3565
438	19.8547	438	34.8472	12.3123	44.3413	11.4136
439	19.9642	439	34.9796	12.3881	44.4733	11.4711
440	20.0744	440	35.1124	12.4643	44.6057	11.5288
441	20.1852	441	35.2457	12.5408	44.7382	11.5865
442	20.2965	442	35.3793	12.6177	44.8709	11.6446
443	20.4083	443	35.513	12.6947	45.0035	11.7024
444	20.5204	444	35.6469	12.772	45.136	11.7603
445	20.6328	445	35.7808	12.8493	45.2684	11.8182
446	20.7453	446	35.9144	12.9266	45.4001	11.8757
447	20.8579	447	36.0478	13.0038	45.5316	11.9332
