192.414993	0.5509
194.001999	0.332
195.589081	0.2546
197.176178	0.1804
198.763351	0.155
200.350571	0.1209
201.937836	0.1141
203.525162	0.1087
205.112518	0.1057
206.699921	0.1068
208.287399	0.0935
209.874908	0.1124
211.462448	0.1273
213.050049	0.1511
214.637695	0.2025
216.225388	0.2666
217.813141	0.3227
219.400925	0.4135
220.98877	0.5308
222.57663	0.7176
224.164581	0.9629
225.752533	1.2028
227.340546	1.4967
228.928619	1.8246
230.516693	2.1578
232.104858	2.541
233.693039	2.9489
235.281281	3.3846
236.869537	3.8511
238.457855	4.3581
240.046219	4.8853
241.634598	5.4507
243.223053	6.0491
244.811523	6.6575
246.400055	7.3131
247.988602	7.9881
249.577194	8.7003
251.165848	9.4293
252.754517	10.1855
254.343231	10.9793
255.932007	11.7776
257.520813	12.6137
259.10965	13.4775
260.698517	14.3549
262.287415	15.2629
263.876373	16.1636
265.465363	17.1003
267.054382	18.0628
268.643433	19.0231
270.232513	19.994
271.821655	20.9772
273.410828	21.9463
275.000031	22.926
276.589264	23.8943
278.178528	24.8778
279.767822	25.8296
281.357147	26.7434
282.946533	27.6868
284.53595	28.6009
286.125366	29.471
287.714844	30.3884
289.304352	31.1814
290.89386	32.0532
292.483459	32.8448
294.073029	33.6518
295.662659	34.4388
297.252319	35.1802
298.84201	35.9259
300.431732	36.6324
302.021484	37.3273
303.611267	38.0208
305.20105	38.6836
306.790894	39.3245
308.380768	40.0042
309.970642	40.624
311.560577	41.2241
313.150543	41.8443
314.740509	42.4648
316.330505	43.0411
317.920532	43.6167
319.51059	44.1623
321.100677	44.811
322.690796	45.4085
324.280914	46.0223
325.871063	46.6276
327.461243	47.251
329.051453	47.9147
330.641693	48.5756
332.231964	49.2724
333.822235	49.9704
335.412537	50.7103
337.002869	51.5051
338.593231	52.2673
340.183594	53.0949
341.773987	53.9874
343.36441	54.8398
344.954865	55.7787
346.545319	56.6044
348.135803	57.545
349.726288	58.4703
351.316833	59.343
352.907349	60.1798
354.497894	61.1055
356.088501	61.9572
357.679108	62.7876
359.269714	63.4976
360.860352	64.2211
362.450989	64.8413
364.041687	65.4455
365.632385	65.9104
367.223083	66.4449
368.813782	66.777
370.404541	67.1538
371.9953	67.4806
373.58606	67.7589
375.176849	67.9384
376.767639	68.0098
378.358459	68.1101
379.94931	68.1634
381.540161	68.0264
383.131042	67.9574
384.721893	68.0295
386.312805	67.9871
387.903687	67.9841
389.494598	67.8912
391.08551	67.8151
392.676453	67.6759
394.267426	67.518
395.858398	67.3558
397.449371	67.2425
399.040344	66.9996
400.631348	66.8292
402.222351	66.6679
403.813385	66.5245
405.404388	66.4947
406.995422	66.2509
408.586487	66.0629
410.177551	65.8486
411.768616	65.7348
413.35968	65.6791
414.950745	65.485
416.54184	65.2333
418.132904	65.0638
419.72403	65.0463
421.315125	64.9536
422.90625	64.7887
424.497375	64.5656
426.088531	64.3694
427.679626	64.1912
429.270813	63.8675
430.861908	63.8683
432.453064	63.9178
434.04425	63.867
435.635345	63.9228
437.226501	63.954
438.817688	63.9314
440.408844	63.8468
